date,employment_rate_16_64,percent_employees_16_64,percent_self_employed_16_64,unemployment_rate_16_plus,percent_econ_inactive_16_64,percent_econ_inactive_want_job,unemployment_rate_ethnic_minority_16_plus
Apr 2023-Mar 2024,223500.0,201400.0,20900.0,19500.0,90600.0,15600.0,6000.0
Jul 2023-Jun 2024,222300.0,207900.0,14400.0,16200.0,97100.0,21800.0,5000.0
Oct 2023-Sep 2024,226200.0,208500.0,17600.0,15300.0,94700.0,20800.0,4500.0
Jan 2024-Dec 2024,224900.0,205100.0,19800.0,15700.0,96400.0,18800.0,8400.0
Jan 2014-Dec 2014,,,,,1900.0,,
Apr 2014-Mar 2015,,,,,1600.0,,
Jul 2014-Jun 2015,,,,,1600.0,,
Oct 2014-Sep 2015,,,,,1600.0,,
Jan 2015-Dec 2015,,,,,2000.0,,
Jul 2015-Jun 2016,5800.0,5000.0,,,,,
Oct 2015-Sep 2016,7000.0,5700.0,,,,,
Jan 2016-Dec 2016,4900.0,3500.0,,,,,
Apr 2016-Mar 2017,6400.0,5100.0,,,,,
Jul 2016-Jun 2017,4600.0,3400.0,,,,,
Oct 2016-Sep 2017,4900.0,3500.0,,,,,
Jan 2017-Dec 2017,7200.0,6000.0,,,3900.0,,
Apr 2017-Mar 2018,5400.0,4100.0,,,3400.0,,
Jul 2017-Jun 2018,6100.0,4500.0,,,,,
Oct 2017-Sep 2018,7100.0,6400.0,,,,,
Jan 2018-Dec 2018,5700.0,5000.0,,,,,
Apr 2018-Mar 2019,6400.0,5600.0,,,,,
Jul 2018-Jun 2019,8100.0,8100.0,,,,,
Oct 2018-Sep 2019,6700.0,6700.0,,,,,
Jan 2019-Dec 2019,7400.0,7400.0,,,,,
Apr 2019-Mar 2020,7700.0,7700.0,,,,,
Oct 2019-Sep 2020,12100.0,12100.0,,,,,
Jan 2020-Dec 2020,9100.0,9100.0,,,,,
Apr 2020-Mar 2021,14500.0,12100.0,,,,,
Jul 2020-Jun 2021,14400.0,12900.0,,,,,
Oct 2020-Sep 2021,14300.0,11700.0,,,,,
Jan 2021-Dec 2021,25800.0,21500.0,,,,,
Apr 2021-Mar 2022,20100.0,18300.0,,,,,
Jul 2021-Jun 2022,14400.0,12900.0,,,,,
Oct 2021-Sep 2022,18700.0,17500.0,,,,,
Jan 2022-Dec 2022,16700.0,15600.0,,,,,
Apr 2022-Mar 2023,20600.0,18400.0,,,,,
Jul 2022-Jun 2023,22400.0,19600.0,,,,,
Oct 2022-Sep 2023,19700.0,16500.0,,,,,
Jul 2023-Jun 2024,5200.0,5200.0,,,,,
